Ref,Val,Package,PosX,PosY,Rot,Side
"C65","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",119.500000,21.000000,90.000000,bottom
"C66","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",107.000000,21.500000,180.000000,bottom
"C67","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",118.000000,23.500000,0.000000,bottom
"C68","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",107.000000,17.500000,180.000000,bottom
"C69","4.7nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",97.560000,18.460000,0.000000,bottom
"C70","680pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",93.560000,20.460000,0.000000,bottom
"C71","470pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",89.560000,20.460000,180.000000,bottom
"C72","470pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",63.060000,20.667500,180.000000,bottom
"C73","680pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",67.060000,20.667500,0.000000,bottom
"C74","4.7nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",71.060000,18.667500,0.000000,bottom
"C75","470pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",76.250000,20.667500,180.000000,bottom
"C76","470pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",50.060000,20.667500,180.000000,bottom
"C77","680pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",80.250000,20.667500,0.000000,bottom
"C78","680pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",54.060000,20.667500,0.000000,bottom
"C79","4.7nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",84.250000,18.667500,0.000000,bottom
"C80","4.7nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",58.060000,18.667500,0.000000,bottom
"C81","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",107.000000,13.500000,90.000000,bottom
"C82","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.000000,13.500000,90.000000,bottom
"C83","10pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",102.500000,27.000000,-90.000000,bottom
"C84","10pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",110.500000,27.000000,90.000000,bottom
"C89","220uF/50V","CP_Elec_10x10.5",36.405000,16.082500,180.000000,bottom
"C90","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",28.395000,24.582500,-90.000000,bottom
"D2","SS510","D_SMA",146.000000,18.000000,0.000000,bottom
"D5","SMAJ33CA","D_SMA",135.000000,10.000000,0.000000,bottom
"D6","SS510","D_SMA",135.000000,14.000000,0.000000,bottom
"D7","SS510","D_SMA",130.000000,24.500000,90.000000,bottom
"D8","SMAJ33CA","D_SMA",72.500000,69.005000,0.000000,bottom
"D9","SMAJ33CA","D_SMA",38.000000,69.005000,0.000000,bottom
"D11","MB110S","TO-269AA",73.500000,62.505000,90.000000,bottom
"D12","SS510","D_SMA",141.000000,24.500000,90.000000,bottom
"D13","SS510","D_SMA",146.000000,14.000000,0.000000,bottom
"D14","SMAJ33CA","D_SMA",146.000000,10.000000,0.000000,bottom
"D49","SS510","D_SMA",135.000000,18.000000,0.000000,bottom
"D57","MB110S","TO-269AA",39.000000,62.505000,90.000000,bottom
"D58","NSI50010YT1G","D_SOD-123",68.500000,58.505000,90.000000,bottom
"D59","NSI50010YT1G","D_SOD-123",34.000000,58.505000,90.000000,bottom
"D60","SMAJ33CA","D_SMA",61.000000,69.000000,0.000000,bottom
"D61","SMAJ33CA","D_SMA",26.500000,69.005000,0.000000,bottom
"D62","MB110S","TO-269AA",62.000000,62.500000,90.000000,bottom
"D63","MB110S","TO-269AA",27.500000,62.505000,90.000000,bottom
"D64","NSI50010YT1G","D_SOD-123",57.000000,58.500000,90.000000,bottom
"D65","NSI50010YT1G","D_SOD-123",22.500000,58.505000,90.000000,bottom
"D66","SMAJ33CA","D_SMA",49.500000,69.000000,0.000000,bottom
"D67","SMAJ33CA","D_SMA",15.000000,69.005000,0.000000,bottom
"D68","MB110S","TO-269AA",50.500000,62.500000,90.000000,bottom
"D69","MB110S","TO-269AA",16.000000,62.505000,90.000000,bottom
"D70","NSI50010YT1G","D_SOD-123",45.500000,58.500000,90.000000,bottom
"D71","NSI50010YT1G","D_SOD-123",11.000000,58.505000,90.000000,bottom
"D72","SMAJ33CA","D_SMA",141.500000,69.005000,0.000000,bottom
"D73","SMAJ33CA","D_SMA",107.000000,69.005000,0.000000,bottom
"D74","MB110S","TO-269AA",142.500000,62.505000,90.000000,bottom
"D75","MB110S","TO-269AA",108.000000,62.505000,90.000000,bottom
"D76","NSI50010YT1G","D_SOD-123",137.500000,58.505000,90.000000,bottom
"D77","NSI50010YT1G","D_SOD-123",103.000000,58.505000,90.000000,bottom
"D78","SMAJ33CA","D_SMA",130.000000,69.005000,0.000000,bottom
"D79","SMAJ33CA","D_SMA",95.500000,69.005000,0.000000,bottom
"D80","MB110S","TO-269AA",131.000000,62.505000,90.000000,bottom
"D81","MB110S","TO-269AA",96.500000,62.505000,90.000000,bottom
